mgtNo|^ivstgGb|^ivstgSpotNm|^adres|^xcnts|^ydnts|^ivstgOdr|^ivstgBgnde|^ivstgEndde|^pm10Val|^pm25Val|^no2Val|^so2Val|^coVal|^o3Val|^pbVal|^bzVal|^hclVal|^hgVal|^niVal|^cr6Val|^cdVal|^asVal|^hchoVal|^vcVal|^dioxinVal|^beVal|^ebVal|^c6h14Val|^c6h12Val|^deVal|^cfVal|^tceVal|^ctVal|^hcnVal|^gmenoPm1024hr|^gmenoPm10Year|^gmenoPm2524hr|^gmenoPm25Year|^gmenoNo21hr|^gmenoNo224hr|^gmenoNo2Year|^umenoPm1024hr|^umenoPm10Year|^umenoPm2524hr|^umenoPm25Year|^umenoSo21hr|^umenoSo224hr|^umenoSo2Year|^umenoNo21hr|^umenoNo224hr|^umenoNo2Year|^umenoCo1hr|^umenoCo8hr|^envrnGrad
DG2005E013|^IV01|^A-1|^경주시 양북면 어일리 1295-180번지|^239.81|^254.69|^1차|^20050502|^20050503|^34.1|^|^0.024|^0.003|^0.021|^0.99|^0.013|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-1|^경주시 양북면 어일리 1295-180번지|^239.81|^254.69|^2차|^20050804|^20050805|^30.2|^|^0.021|^0.002|^0.02|^0.85|^0.012|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-1|^경주시 양북면 어일리 1295-180번지|^239.81|^254.69|^3차|^20060209|^20060210|^35.7|^|^0.026|^0.005|^0.01|^0.87|^0.013|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-2|^경주시 양북면 용당1리 마을회관|^241.07|^251.23|^1차|^20050502|^20050503|^54.6|^|^0.02|^0.003|^0.02|^0.56|^0.008|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-2|^경주시 양북면 용당1리 마을회관|^241.07|^251.23|^2차|^20050804|^20050805|^51.5|^|^0.017|^0.001|^0.018|^0.39|^0.007|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-2|^경주시 양북면 용당1리 마을회관|^241.07|^251.23|^3차|^20060209|^20060210|^53.6|^|^0.023|^0.004|^0.009|^0.45|^0.007|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-3|^경주시 감포읍 대본3리 대본초교|^243.68|^249.54|^1차|^20050502|^20050503|^29.3|^|^0.017|^0.001|^0.017|^0.32|^0.005|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-3|^경주시 감포읍 대본3리 대본초교|^243.68|^249.54|^2차|^20050804|^20050805|^25.7|^|^0.013|^0.001|^0.016|^0.27|^0.005|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV01|^A-3|^경주시 감포읍 대본3리 대본초교|^243.68|^249.54|^3차|^20060209|^20060210|^28.9|^|^0.019|^0.005|^0.009|^0.32|^0.004|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^매우나쁨
DG2005E013|^IV02|^AP-3|^방대마을|^295215|^396565|^0차|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^46.7|^30.1|^|^|^0.074|^0.021|^0.014|^|^|^|^|^|^|^|^|^|^|^|^|^
