mgtNo|^ivstgGb|^ivstgSpotNm|^adres|^xcnts|^ydnts|^ivstgOdr|^ivstgBgnde|^ivstgEndde|^cmpndBsmlVal|^nh3Val|^ch4sVal|^h2sVal|^ch3sch3Val|^ch3ssch3Val|^ch33nVal|^c2h4oVal|^c8h8Val|^c3h6oVal|^ch3ch22choVal|^ch3ch23choVal|^ch32chch2choVal|^c7h8Val|^c8h10Val|^c4h8oVal|^c6h12oVal|^c6h12o2Val|^c2h5coohVal|^ch3ch22choohVal|^ch3ch23coohVal|^ch32chch2coohVal|^ch32chch2ohVal
DG2006B001|^IV01|^O-1(1)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060604|^20060604|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(10)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060603|^20060603|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(11)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060602|^20060602|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(12)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060602|^20060602|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(13)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060602|^20060602|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(14)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060602|^20060602|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(15)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060602|^20060602|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(2)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060604|^20060604|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(3)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060604|^20060604|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(4)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060604|^20060604|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(5)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060604|^20060604|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(6)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060603|^20060603|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(7)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060603|^20060603|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(8)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060603|^20060603|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-1(9)|^경상북도 안동시 풍산읍 매곡리 15-3|^158574.7|^344911.8|^0차|^20060603|^20060603|^2|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-2(1)|^경상북도 안동시 풍산읍 매곡리 891|^159379.4|^344783.2|^0차|^20060604|^20060604|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
DG2006B001|^IV01|^O-2(10)|^경상북도 안동시 풍산읍 매곡리 891|^159379.4|^344783.2|^0차|^20060603|^20060603|^3|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^
