mgtNo|^gmenoCo2Val|^gmenoCh4Val|^gmenoN2oVal|^gmenoOtrVal|^umenoCo2Val|^umenoCh4Val|^umenoN2oVal|^umenoOtrVal|^rm
DG2008B005|^|^|^|^16305.19|^|^|^|^389078.59|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2010B008|^|^|^|^1620|^|^|^|^6.1|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/hr
DG2010B011|^|^|^|^2315.28|^|^|^|^22584.69|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2011A001|^|^|^|^27105.33|^|^|^|^187756.9|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2011B003|^|^|^|^2184.5|^|^|^|^404085.8|^공사시 그외 배출량 t CO2eq/년
DG2011B004|^|^|^|^9759.3|^|^|^|^479479.73|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2011B005|^2742750|^2331|^6820|^2751901|^5308719|^1754|^5363|^5315836|^공사시 단위값 CO2eq kg,운영시 단위값 CO2e kg/년/공사시 CO2 CH4 N2O 단위값 CO2eq kg 운영시 CO2 CH4 N2O 단위값  CO2eq kg/년
DG2011B006|^|^|^|^1973.3|^|^|^|^60258.03|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2011E003|^|^|^|^1397.42|^|^|^|^1593.6|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2012B001|^|^|^|^2212.4|^|^|^|^9804.63|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2012B002|^|^|^|^17564.1|^|^|^|^49322.99|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2012B005|^|^|^|^5740.3|^|^|^|^19840.81|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2012B006|^|^|^|^4510.9|^|^|^|^90055.43|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2012B007|^|^|^|^9341.51|^|^|^|^338087.83|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2012B008|^1795.44|^1.53|^4.51|^1801.47|^|^|^|^70129.98|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2012B016|^|^|^|^3139.8|^|^|^|^698145|^공사시 그외 배출량 t CO2, 운영시 그외 배출량 t CO2eq
DG2012B017|^|^|^|^6367.1|^|^|^|^77668.8|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
DG2012B018|^|^|^|^5000.02|^|^|^|^134818.5|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2012E001|^|^|^|^1478.3|^|^|^|^5468.1|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2012E002|^2053.9|^2.94|^5.21|^|^1605.9|^2.5|^52|^|^
DG2012E005|^2548.7|^3.65|^6.47|^2558.82|^|^|^|^14664.4|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2013A001|^|^|^|^2160|^|^|^|^13283|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2013B006|^2148.9|^1.83|^5.39|^2156.12|^|^|^|^120985.15|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2013B007|^|^|^|^3728.1|^|^|^|^97000.35|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2013B009|^2148.9|^1.83|^5.39|^2156.12|^|^|^|^120985.15|^공사시 단위 값 CO2 t/일,운영시 단위값  CO2eq t/년
DG2013E001|^|^|^|^951.256|^|^|^|^13245.011|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2013E002|^|^|^|^687.204|^|^|^|^6324.441|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2014A001|^1846129.92|^74.74|^14.95|^|^|^|^|^96372.91|^공사시 이산화탄소 메탄 아산화질소 kg/년, 운영시 그외 배출량 t CO2
DG2014B001|^|^|^|^17620.5|^|^|^|^399305|^
DG2014B002|^6366885|^5413|^15982|^6388280|^|^|^|^418564.28|^공사시 단위값 CO2eq kg,운영시 단위값  CO2eq t/년/공사시 CO2 CH4 N2O 단위값 CO2eq kg
DG2014B003|^|^|^|^7933|^|^|^|^27860|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t
DG2014B004|^|^|^|^638.4|^|^|^|^3709525.74|^공사시 그외 배출량 t CO2/년, 운영시 그외 배출량 t Co2/년
DG2014E001|^829.8|^2.38|^2.11|^834.3|^|^|^|^|^공사시 총 배출량 단위값 CO2eq t
DG2014E002|^|^|^|^6103.94|^|^|^|^13916.82|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2014E003|^|^|^|^143200.6|^|^|^|^5655.09|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2015A001|^|^|^|^1077.82|^|^|^|^48844.09|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2015A002|^|^|^|^8599.01|^|^|^|^21459.95|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
DG2015B001|^|^|^|^|^|^|^|^125480.1|^운영시 단위값  CO2eq t/년
DG2015B002|^|^|^|^|^|^|^|^159491.3|^운영시 단위값  CO2eq t/년
DG2015B003|^|^|^|^8442.98|^|^|^|^91036.19|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
DG2015B004|^|^|^|^13096.4|^|^|^|^251261.36|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년
DG2015B005|^|^|^|^8662.17|^|^|^|^145745.24|^공사시 단위값 CO2eq t /년,운영시 단위값  CO2eq t/년
DG2015B007|^2.241|^0.002|^0.037|^1641.7|^74408.9|^139.3|^41.1|^74589.3|^공사시 단위값 CO2eq t,운영시 단위값  CO2eq t/년/공사시 CO2 CH4 N2O 단위값 CO2eq t/일
DG2015D001|^|^|^|^1483.391|^|^|^|^|^공사시 단위 값 CO2 t
DG2015E001|^|^|^|^833.605|^|^|^|^1252|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2015E002|^|^|^|^5894.1|^|^|^|^3186.3|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
DG2016E001|^|^|^|^747.5|^|^|^|^3121.41|^공사시 총 배출량 단위값  CO2eq kg/일,운영시 총 배출량 단위값  CO2eq t/년
GG2009B003|^|^|^|^139088.98|^|^|^|^266356.41|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2010A002|^|^|^|^1570.938|^|^|^|^11007.27|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2010A005|^|^|^|^1524|^|^|^|^164.3|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 t/일
GG2010B004|^|^|^|^6405.3|^|^|^|^61969|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2010B005|^|^|^|^5580|^|^|^|^|^공사시 총 배출량 단위 값 CO2 t
GG2010B008|^|^|^|^1991|^|^|^|^167995.06|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2010B011|^|^|^|^1122.45|^|^|^|^2641.6|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2010B013|^|^|^|^600|^|^|^|^|^공사시 총 배출량 단위 값 CO2 t
GG2010B014|^|^|^|^3285.9|^|^|^|^16.7|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값 CO2eq t/hr
GG2010Z001|^|^|^|^600|^|^|^|^|^공사시 총 배출량 단위 값 CO2 t
GG2011A001|^|^|^|^3450.46|^|^|^|^960101.5|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2011A002|^|^|^|^3424.1|^|^|^|^12166.09|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2011A003|^|^|^|^1927.19|^|^|^|^59075.75|^공사시 총 배출량 단위값 CO2eq t /년,운영시 총 배출량 단위값  CO2eq t/년
GG2011B001|^|^|^|^7321.4|^|^|^|^65692.14|^공사시 단위 값 CO2 t,운영시 단위값  CO2eq t/년
GG2011B004|^|^|^|^5015.5|^|^|^|^168244.3|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2011B006|^|^|^|^1442.3|^|^|^|^880006.33|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2011B007|^|^|^|^4100.16|^|^|^|^28875.33|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값  CO2eq t/년
GG2011B008|^|^|^|^4973|^|^|^|^|^공사시 총 배출량 단위값 CO2eq t
GG2011B009|^|^|^|^2721.507|^|^|^|^375530.915|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년
GG2011E001|^|^|^|^88284|^|^|^|^225761.3|^공사시 총 배출량 단위값 CO2eq t,운영시 총 배출량 단위값  CO2eq t/년  
GG2011E002|^|^|^|^6980|^|^|^|^27928.5|^공사시 총 배출량 단위 값 CO2 t,운영시 총 배출량 단위값 CO2 kg/일
GG2011E004|^2147.41|^1.83|^5.39|^|^|^|^|^19078.4|^운영시 총 배출량 단위값  CO2eq t/년
GG2011E005|^|^|^|^74981.4|^29830.1|^35.4|^721.3|^|^공사시 총 배출량 단위값 CO2eq t
