mgtNo|^id|^dgrNm|^ar|^bfeFloodqy|^midFloodqy|^aftFloodqy|^floodqyFq|^nowPktmFloodqy|^bfefcltyPktmFloodqy|^aftfcltyPktmFloodqy|^pktmFloodqyFq
DG2006B001|^9364|^BJ2|^61.8|^|^|^|^|^6.88|^9.45|^4.51|^50
DG2006B001|^9368|^48(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9371|^50(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9374|^52(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9378|^55(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9381|^ + 30(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9385|^58(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9388|^61(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9391|^63(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9395|^40(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9398|^ +15(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9401|^48(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9405|^54(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9408|^57(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9412|^63(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9415|^유역|^|^|^|^|^|^13.33|^19.94|^23.2|^50
DG2006B001|^9363|^BO-2|^16.4|^|^|^|^|^1.11|^0.31|^0.48|^50
DG2006B001|^9365|^BJ1|^71.6|^|^|^|^|^7.95|^13|^14.77|^50
DG2006B001|^9366|^BJ0|^116.8|^|^|^|^|^13.33|^19.94|^23.2|^50
DG2006B001|^9367|^47(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9369|^49(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9370|^49(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9372|^51(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9373|^52(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9375|^53(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9376|^54(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9377|^55(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9379|^ + 13(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9380|^ + 30(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9382|^56(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9383|^57(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9384|^58(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9386|^59(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9387|^60(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9389|^61(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9390|^62(1)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9392|^64(1)|^|^20.65|^|^|^30|^|^|^|^
DG2006B001|^9393|^64(2)|^|^23.2|^|^|^50|^|^|^|^
DG2006B001|^9394|^65(1)|^|^20.65|^|^|^30|^|^|^|^
