mgtNo|^ivstgGb|^ivstgSpotNm|^adres|^xcnts|^ydnts|^ivstgOdr|^ivstgBgnde|^ivstgEndde|^waterTp|^phVal|^doVal|^ssVal|^codVal|^ftcVal|^fcVal|^tnVal|^tpVal|^bodVal|^tocVal|^cpaVal|^fluxVal|^ugnVal|^absVal|^cdmVal|^pbVal|^pcbVal|^cnVal|^hgVal|^cr6Val|^asVal|^ctVal|^deVal|^teVal|^dmVal|^bzVal|^cfVal|^dehfVal|^amVal|^dxVal|^faVal|^hbVal|^kmno4Cnsmpqy|^tssVal|^no3Val|^nhVal|^soVal|^fVal|^feVal|^znVal|^pnVal|^envrnGrad|^ugrwtrPrpos|^ugrwtrDkps
DG2005E013|^IV05|^W-1|^경주시 양복면 어일리 입천교 하류|^|^|^1차|^20050503|^20050503|^|^7.4|^9.4|^1.4|^|^200|^|^|^|^0.6|^|^|^|^|^0.004|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-1|^경주시 양복면 어일리 입천교 하류|^|^|^2차|^20050805|^20050805|^|^7.2|^9.2|^1.1|^|^230|^|^|^|^0.6|^|^|^|^|^0.003|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-1|^경주시 양복면 어일리 입천교 하류|^|^|^3차|^20060210|^20060210|^|^-88888|^-88888|^-88888|^|^-88888|^|^|^|^-88888|^|^|^-88888|^|^-88888|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-2|^경주시 양복면 용당1리 원당교 밑|^|^|^1차|^20050503|^20050503|^|^7.4|^9.3|^1.4|^|^250|^|^|^|^0.7|^|^|^|^|^0.004|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-2|^경주시 양복면 용당1리 원당교 밑|^|^|^2차|^20050805|^20050805|^|^7|^9.2|^1.2|^|^260|^|^|^|^0.5|^|^|^|^|^0.005|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-2|^경주시 양복면 용당1리 원당교 밑|^|^|^3차|^20060210|^20060210|^|^7.5|^9.3|^1.5|^|^240|^|^|^|^0.6|^|^|^-88888|^|^0.003|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-3|^경주시 양복면 용당2리 대종교 밑|^|^|^1차|^20050503|^20050503|^|^7.6|^9.1|^3|^|^300|^|^|^|^1|^|^|^|^|^0.007|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-3|^경주시 양복면 용당2리 대종교 밑|^|^|^2차|^20050805|^20050805|^|^7.2|^9|^2|^|^320|^|^|^|^0.9|^|^|^|^|^0.003|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-3|^경주시 양복면 용당2리 대종교 밑|^|^|^3차|^20060210|^20060210|^|^7.8|^9.1|^2.5|^|^280|^|^|^|^0.8|^|^|^0.1835|^|^0.006|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
DG2005E013|^IV05|^W-4|^경주시 감포읍 대본리 대본삼거리 옆|^|^|^1차|^20050503|^20050503|^|^-88888|^-88888|^-88888|^|^-88888|^|^|^|^-88888|^|^|^|^|^-88888|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^|^Ia|^|^
