[2020-02-11 14:41:25]  INFO (oneDepthService.OpenApi_oneDepth - main:39) - firstLine start..
[2020-02-11 14:41:43] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2005E013
[2020-02-11 14:41:43] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006B001
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006C001
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006D001
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006E009
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006E010
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006E012
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2007B001
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2007B002
[2020-02-11 14:41:44] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2007B003
[2020-02-11 14:41:44]  INFO (airqualityService.AirqualityService_getIvstg - main:652) - parsing complete!
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2005E013
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006B001
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006C001
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006D001
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006E009
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006E010
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2006E012
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2007B001
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2007B002
[2020-02-11 14:43:15] DEBUG (airqualityService.AirqualityService_getIvstg - main:595) - mgtNo :DG2007B003
[2020-02-11 14:43:15]  INFO (airqualityService.AirqualityService_getIvstg - main:652) - parsing complete!
[2020-02-11 14:45:17] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2005E013
[2020-02-11 14:45:17] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006B001
[2020-02-11 14:45:17] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006C001
[2020-02-11 14:45:17] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006D001
[2020-02-11 14:45:17] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E009
[2020-02-11 14:45:17] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E010
[2020-02-11 14:45:18] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2006E012
[2020-02-11 14:45:18] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B001
[2020-02-11 14:45:18] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B002
[2020-02-11 14:45:18] DEBUG (airqualityService.AirqualityService_getIvstg - main:596) - mgtNo :DG2007B003
[2020-02-11 14:45:18]  INFO (airqualityService.AirqualityService_getIvstg - main:653) - parsing complete!
